,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,M1,T7,C3,Cz,C4,T8,M2,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,Oz,O2,Participant,StimType,Period,Feature
144,0.025808635,0.136302325,0.043818825,-0.007135085,0.114663594,0.016538194,0.109544395,0.122156331,0.031181024,-0.045783983,0.06165263,0.063180732,-0.023277584,-0.057650818,0.023214066,0.048066576,0.038970559,0.043346544,-0.017953527,0.081241076,0.035147693,0.050597829,0.13017003,0.067203285,0.081677676,0.103067419,0.088944816,0.171027705,0.077341592,0.080721378,0.025927521,-0.067955284,11,F30,PercentChange,delta
145,-0.062005669,0.104666995,-0.040121229,-0.050384715,-0.055017922,-0.037926964,0.050000142,0.024471443,0.141057854,-0.009073372,0.040542794,0.148983219,0.134975069,0.027557209,0.131195902,0.025282149,0.108482032,0.087664953,0.228784153,0.086658926,0.025158382,-0.003512256,-0.015070358,-0.019697314,-0.051290017,-0.039738669,0.017393616,-0.034638041,0.011192751,-0.002738176,-0.03657947,-0.073889384,13,F30,PercentChange,delta
146,-0.040348651,0.068233638,0.057249488,-0.011673011,-0.04610122,-0.043823828,0.027389334,0.002771504,-0.02299726,-0.038058407,0.032784864,-0.037888483,-0.00152666,-0.036708102,0.019578963,-0.008670248,-0.014943061,-0.011257362,-0.020874771,-0.045435207,-0.035613014,0.041375081,0.042093051,0.057549005,-0.075379559,-0.052376406,-0.023529312,0.083720642,-0.031847699,0.08796707,-0.00144307,-0.036904592,14,F30,PercentChange,delta
147,-0.025967767,0.150342976,-0.00137333,0.024743951,-0.057692958,0.11674284,0.129626489,0.055747009,0.062027913,-0.02493676,0.001686468,0.11072836,0.100359067,-0.030817042,0.089471792,0.033335247,0.021358471,0.034474878,0.066467933,-0.013277882,-0.040580769,-0.001454744,0.02755273,0.001666721,0.002174727,0.061132469,-0.014814667,0.074707112,-0.088651352,-0.136986128,-0.087894151,0.069517117,16,F30,PercentChange,delta
148,0.039449906,0.089554493,0.131136517,-0.028451928,0.074656827,0.088786177,0.014043526,-0.026872335,0.071407239,0.021700127,0.129736007,0.05076708,0.031755219,0.011157826,0.129861396,0.039100673,-0.037632182,-0.043277542,0.037376892,0.059699684,0.004644126,-0.02366761,-0.045045608,0.067600134,0.079234796,-0.025121832,0.066859298,0.081356835,-0.012130527,0.043061051,0.088174905,-0.018409973,20,F30,PercentChange,delta
149,-0.038480887,0.001120536,-0.018163433,-0.112053447,-0.020810521,-0.075366484,-0.024367356,-0.014984398,-0.017701257,0.020910213,-0.030449082,0.011102376,-0.022881605,0.013519966,-0.00140564,-0.002861584,-0.008199168,-0.000889007,0.013187755,-0.091542976,-0.040243069,-0.029757779,-0.060172096,-0.033414103,-0.046318955,-0.02284651,-0.065483264,-0.010049193,-0.060642005,-0.045880645,-0.033364118,-0.047947598,1219,F30,PercentChange,delta
150,-0.020940371,-0.069039886,-0.048675883,-0.044824117,0.004020637,0.066211788,-0.032428754,-0.02564597,-0.006697881,-0.025683131,-0.01636082,-0.012437732,0.012029452,-0.040491009,0.004061997,0.049248331,-0.054446131,-0.053160305,0.000248375,-0.006834139,0.036939426,-0.006537612,0.029756988,0.030840779,0.043676556,-0.011855494,0.073800167,0.040503229,0.04146334,-0.036781932,0.021722247,0.090661785,1518,F30,PercentChange,delta
151,-0.020206673,-0.053656293,0.068039838,0.071919305,0.051146276,-0.057292126,-0.013565442,-0.015657802,-0.021065326,0.034387759,-0.052672626,-0.011427318,-0.021528837,-0.015190576,-0.093459159,0.047426241,0.009444925,0.02777938,-0.035048925,0.018884126,0.003922057,0.035140913,0.029225106,0.035666844,0.042876685,-0.012641323,0.030409674,-0.012489274,0.011253069,-0.026751371,0.019719443,-0.078323116,212526,F30,PercentChange,delta
152,0.029286486,0.011561532,-0.008157301,0.089973668,0.028822864,0.058510538,0.00364702,-0.027486707,0.015614774,-0.026828725,0.025672606,0.002425908,0.006217932,-0.007222832,0.012569183,0.004763162,0.012234202,0.00784839,0.014327844,-0.003665558,0.024356079,0.000600864,-0.014187259,0.008269073,0.012462245,0.002897729,0.045808727,0.02043541,-0.009200208,-0.011186746,0.004041444,0.043482728,222324,F30,PercentChange,delta
153,-0.103338799,-0.094713475,-0.02848158,-0.051196398,-0.006265102,-0.008543375,-0.086750085,0.016928726,0.025227182,0.008600884,-0.042755964,-0.08068895,-0.033612,-0.097995574,-0.008751479,0.017707047,0.021768487,0.034224098,-0.055063339,0.036217125,0.077017625,0.015277777,-0.084118502,-0.010519722,0.026570575,0.034955594,0.113446239,0.015690662,-0.042300768,0.0331485,-0.003112434,-0.049130259,11,M30,PercentChange,delta
